"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"01.03.2025","5.351,25","5.436,55","5.568,65","5.293,85","141,62M","-2,06%"
"01.02.2025","5.463,54","5.151,85","5.544,55","5.150,85","45,82M","3,34%"
"01.01.2025","5.286,87","4.895,65","5.314,55","4.844,95","22,05M","7,98%"
"01.12.2024","4.895,98","4.785,15","5.007,70","4.764,38","12,40M","1,91%"
"01.11.2024","4.804,40","4.829,48","4.946,48","4.688,68","","-0,48%"
"01.10.2024","4.827,63","5.004,37","5.053,23","4.805,23","","-3,46%"
"01.09.2024","5.000,45","4.955,87","5.071,41","4.732,86","","0,86%"
"01.08.2024","4.957,98","4.851,30","4.981,25","4.471,40","34,04M","1,75%"
"01.07.2024","4.872,94","4.977,05","5.051,85","4.765,60","30,03M","-0,43%"
"01.06.2024","4.894,02","5.036,05","5.082,35","4.818,75","25,15M","-1,80%"
"01.05.2024","4.983,67","4.905,25","5.102,45","4.887,55","58,90M","1,27%"
"01.04.2024","4.921,22","5.096,35","5.121,85","4.883,25","33,80M","-3,19%"
"01.03.2024","5.083,42","4.888,58","5.103,75","4.874,03","31,38M","4,22%"
"01.02.2024","4.877,77","4.641,94","4.898,37","4.619,48","609,58M","4,93%"
"01.01.2024","4.648,40","4.528,45","4.674,74","4.380,97","566,06M","2,80%"
"01.12.2023","4.521,65","4.393,04","4.593,11","4.393,04","506,04M","3,18%"
"01.11.2023","4.382,47","4.069,65","4.392,81","4.049,87","642,43M","7,91%"
"01.10.2023","4.061,12","4.181,62","4.234,49","3.993,10","586,33M","-2,72%"
"01.09.2023","4.174,66","4.296,31","4.326,90","4.106,48","578,80M","-2,85%"
"01.08.2023","4.297,11","4.469,62","4.469,62","4.175,37","591,17M","-3,90%"
"01.07.2023","4.471,31","4.401,03","4.491,51","4.197,97","550,26M","1,64%"
"01.06.2023","4.399,09","4.222,56","4.410,20","4.222,56","612,51M","4,29%"
"01.05.2023","4.218,04","4.353,41","4.412,88","4.210,69","682,02M","-3,24%"
"01.04.2023","4.359,31","4.312,99","4.411,67","4.286,21","607,79M","1,03%"
"01.03.2023","4.315,05","4.243,38","4.325,34","3.980,94","1,04B","1,81%"
"01.02.2023","4.238,38","4.168,81","4.316,17","4.159,01","726,67M","1,80%"
"01.01.2023","4.163,45","3.802,51","4.197,47","3.802,51","663,43M","9,75%"
"01.12.2022","3.793,62","3.970,68","4.035,15","3.767,26","558,50M","-4,32%"
"01.11.2022","3.964,72","3.628,60","3.976,43","3.563,42","718,95M","9,60%"
"01.10.2022","3.617,54","3.309,02","3.631,23","3.256,32","646,42M","9,02%"
"01.09.2022","3.318,20","3.514,49","3.683,02","3.249,57","767,98M","-5,66%"
"01.08.2022","3.517,25","3.705,76","3.819,12","3.517,25","638,11M","-5,15%"
"01.07.2022","3.708,10","3.450,62","3.720,16","3.357,06","765,41M","7,33%"
"01.06.2022","3.454,86","3.800,10","3.857,27","3.411,83","767,31M","-8,82%"
"01.05.2022","3.789,21","3.772,91","3.852,68","3.526,86","738,88M","-0,36%"
"01.04.2022","3.802,86","3.906,57","3.969,04","3.675,54","640,22M","-2,55%"
"01.03.2022","3.902,52","3.920,03","4.024,89","3.387,00","1,18B","-0,55%"
"01.02.2022","3.924,23","4.184,63","4.259,28","3.765,42","901,93M","-6,00%"
"01.01.2022","4.174,60","4.303,94","4.395,78","4.035,28","709,83M","-2,88%"
"01.12.2021","4.298,41","4.080,85","4.319,69","4.046,69","623,99M","5,79%"
"01.11.2021","4.063,06","4.256,93","4.415,23","4.027,43","720,06M","-4,41%"
"01.10.2021","4.250,56","4.037,16","4.250,68","3.965,87","678,85M","5,00%"
"01.09.2021","4.048,08","4.207,00","4.252,78","4.011,49","694,95M","-3,53%"
"01.08.2021","4.196,41","4.095,50","4.242,26","4.082,07","474,03M","2,62%"
"01.07.2021","4.089,30","4.068,20","4.128,81","3.904,78","536,20M","0,62%"
"01.06.2021","4.064,30","4.044,07","4.165,59","4.044,07","554,88M","0,61%"
"01.05.2021","4.039,46","3.979,50","4.075,87","3.857,76","603,72M","1,63%"
"01.04.2021","3.974,74","3.922,36","4.040,88","3.922,36","520,88M","1,42%"
