,Edad,Ingreso Anual (€),Porcentaje Ahorro (%),Ahorro Actual (€),Gasto Mensual (€),Vida Esperada (años),Edad de Jubilación,Años Hasta Jubilación
0,32,29353.06,7.26,25554.94,2268.62,81.29,67,35
1,51,39218.38,23.72,288438.59,2492.83,75.0,67,16
2,32,15000.0,11.14,20055.0,1110.73,78.7,65,33
3,30,23517.91,25.01,58819.72,1469.66,75.0,67,37
4,60,20867.64,23.96,200005.33,1322.29,81.47,62,2
5,47,24462.23,9.96,65780.34,1835.49,88.29,66,19
6,27,43344.02,27.71,84066.08,2611.21,78.43,64,37
7,56,33128.16,9.03,107716.74,2511.34,83.23,66,10
8,53,39274.26,24.93,323087.85,2456.98,81.48,67,14
9,47,25123.31,15.51,105231.57,1768.82,90.0,62,15
10,28,17733.13,9.58,13584.16,1336.26,88.34,67,39
11,25,15000.0,28.45,21339.59,894.34,75.0,62,37
12,28,44696.99,29.08,103988.21,2641.54,81.04,66,38
13,60,15000.0,17.78,106705.94,1027.7,77.57,62,2
14,41,48717.07,16.73,171151.16,3380.58,79.0,67,26
15,44,31903.27,27.52,210722.72,1926.93,85.93,63,19
16,27,58940.08,19.9,82117.63,3934.08,82.97,64,37
17,39,25156.1,11.65,55687.65,1852.1,85.86,67,28
18,51,28286.79,15.63,137057.36,1988.8,75.0,66,15
19,56,20077.79,25.9,187203.37,1239.81,86.65,66,10
20,47,22877.19,26.49,163618.88,1401.44,84.14,66,19
21,49,15331.01,28.48,126627.77,913.71,90.0,65,16
22,43,20770.51,12.21,58313.22,1519.6,78.95,67,24
23,40,15000.0,22.0,65996.46,975.01,87.38,66,26
24,26,22541.47,6.71,9074.82,1752.42,83.46,64,38
25,32,21745.81,23.15,60403.5,1392.68,82.67,66,34
26,32,21805.39,19.08,49925.59,1470.41,79.56,67,35
27,23,21054.13,11.24,7102.07,1557.23,81.53,67,44
28,62,16170.88,21.37,145111.62,1059.65,77.1,61,0
29,59,29137.28,8.38,95221.38,2224.64,80.01,66,7
30,55,25782.6,13.35,120425.51,1861.82,79.05,67,12
31,39,25289.28,15.02,72184.21,1790.84,80.57,64,25
32,24,15000.0,24.43,14657.06,944.64,81.09,67,43
33,51,30843.05,12.72,121616.56,2243.33,81.22,64,13
34,62,15034.51,6.23,39313.21,1174.87,81.96,64,2
35,58,16960.07,9.52,61345.2,1278.81,81.91,63,5
36,53,23060.41,20.2,153738.44,1533.47,82.54,62,9
37,26,39146.95,5.38,12639.59,3086.7,81.85,65,39
38,28,15000.0,24.81,29766.97,939.93,80.65,65,37
39,48,15000.0,27.53,115617.61,905.9,84.15,64,16
40,35,15000.0,17.38,39116.12,1032.69,88.06,65,30
41,51,28370.52,22.69,199562.07,1827.75,80.32,64,13
