Edad,Ingreso Anual (€),Porcentaje Ahorro (%),Ahorro Actual (€),Gasto Mensual (€),Vida Esperada (años),Edad de Jubilación,Años Hasta Jubilación
32,29353.06,7.26,25554.94,2268.62,81.29,67,35
51,39218.38,23.72,288438.59,2492.83,75.0,67,16
32,15000.0,11.14,20055.0,1110.73,78.7,65,33
30,23517.91,25.01,58819.72,1469.66,75.0,67,37
60,20867.64,23.96,200005.33,1322.29,81.47,62,2
47,24462.23,9.96,65780.34,1835.49,88.29,66,19
27,43344.02,27.71,84066.08,2611.21,78.43,64,37
56,33128.16,9.03,107716.74,2511.34,83.23,66,10
53,39274.26,24.93,323087.85,2456.98,81.48,67,14
47,25123.31,15.51,105231.57,1768.82,90.0,62,15
28,17733.13,9.58,13584.16,1336.26,88.34,67,39
25,15000.0,28.45,21339.59,894.34,75.0,62,37
28,44696.99,29.08,103988.21,2641.54,81.04,66,38
60,15000.0,17.78,106705.94,1027.7,77.57,62,2
41,48717.07,16.73,171151.16,3380.58,79.0,67,26
44,31903.27,27.52,210722.72,1926.93,85.93,63,19
27,58940.08,19.9,82117.63,3934.08,82.97,64,37
39,25156.1,11.65,55687.65,1852.1,85.86,67,28
51,28286.79,15.63,137057.36,1988.8,75.0,66,15
56,20077.79,25.9,187203.37,1239.81,86.65,66,10
47,22877.19,26.49,163618.88,1401.44,84.14,66,19
49,15331.01,28.48,126627.77,913.71,90.0,65,16
43,20770.51,12.21,58313.22,1519.6,78.95,67,24
40,15000.0,22.0,65996.46,975.01,87.38,66,26
26,22541.47,6.71,9074.82,1752.42,83.46,64,38
32,21745.81,23.15,60403.5,1392.68,82.67,66,34
32,21805.39,19.08,49925.59,1470.41,79.56,67,35
23,21054.13,11.24,7102.07,1557.23,81.53,67,44
62,16170.88,21.37,145111.62,1059.65,77.1,61,0
59,29137.28,8.38,95221.38,2224.64,80.01,66,7
55,25782.6,13.35,120425.51,1861.82,79.05,67,12
39,25289.28,15.02,72184.21,1790.84,80.57,64,25
24,15000.0,24.43,14657.06,944.64,81.09,67,43
51,30843.05,12.72,121616.56,2243.33,81.22,64,13
62,15034.51,6.23,39313.21,1174.87,81.96,64,2
58,16960.07,9.52,61345.2,1278.81,81.91,63,5
53,23060.41,20.2,153738.44,1533.47,82.54,62,9
26,39146.95,5.38,12639.59,3086.7,81.85,65,39
28,15000.0,24.81,29766.97,939.93,80.65,65,37
48,15000.0,27.53,115617.61,905.9,84.15,64,16
35,15000.0,17.38,39116.12,1032.69,88.06,65,30
51,28370.52,22.69,199562.07,1827.75,80.32,64,13
28,18608.28,16.57,24662.56,1293.79,79.33,67,39
26,27233.58,12.72,20783.17,1980.81,83.88,67,41
49,26085.13,9.12,69002.5,1975.48,82.54,65,16
54,32663.59,17.95,199390.95,2233.26,77.17,66,12
27,22042.32,28.25,43584.43,1318.0,78.24,67,40
60,15449.76,27.25,168398.12,936.65,79.03,66,6
30,24735.8,27.99,69237.09,1484.34,76.82,63,33
33,27099.7,29.16,102730.7,1599.78,84.19,63,30
42,18505.51,9.13,37186.25,1401.27,85.82,67,25
41,23049.9,8.66,41933.72,1754.42,77.94,63,22
21,15000.0,15.69,2354.11,1053.82,75.2,63,42
61,15000.0,22.23,136731.65,972.09,82.86,63,2
62,15000.0,15.99,100751.79,1050.1,82.15,65,3
22,25445.12,27.31,13897.54,1541.36,90.0,65,43
49,31887.92,22.93,212090.5,2047.87,85.34,65,16
31,15000.0,20.85,34401.3,989.38,76.36,63,32
57,23874.27,6.78,59855.19,1854.71,77.24,62,5
27,27545.12,9.38,18092.65,2080.04,83.58,64,37
55,18040.01,15.7,99154.15,1267.25,81.73,65,10
50,49058.78,29.41,432836.34,2885.91,81.45,65,15
36,15000.0,13.36,32064.52,1083.0,82.33,63,27
35,18237.23,20.75,56761.7,1204.43,85.88,63,28
60,15000.0,29.72,178335.9,878.47,90.0,66,6
40,26181.64,11.6,60744.68,1928.7,88.65,67,27
48,15275.99,9.17,39208.4,1156.31,76.93,63,15
57,15000.0,18.66,103553.74,1016.77,79.33,65,8
23,29643.7,18.8,16716.61,2005.96,75.0,64,41
49,20364.91,28.05,165641.64,1221.09,83.05,62,13
57,18892.34,5.66,39569.59,1485.24,79.37,67,10
29,38704.81,15.18,52893.99,2735.64,81.9,61,32
47,15000.0,12.81,51875.25,1089.89,77.89,63,16
52,30393.26,19.28,187478.5,2044.55,77.83,64,12
59,32684.3,5.23,66707.7,2581.15,75.0,67,8
51,16626.44,22.78,117395.02,1069.96,80.4,66,15
46,22119.93,17.12,98487.49,1527.66,84.84,65,19
60,50989.33,22.52,459255.36,3292.33,78.63,65,5
23,15000.0,16.2,7287.82,1047.56,85.26,64,41
31,29070.1,16.85,53896.84,2014.2,78.54,67,36
49,22721.24,27.39,180468.82,1374.85,82.0,61,12
47,41578.66,10.27,115321.02,3108.96,88.78,62,15
30,21658.06,10.44,22604.99,1616.46,79.56,67,37
55,31035.18,18.99,206241.78,2095.21,83.13,67,12
43,15000.0,21.51,74194.34,981.18,83.3,64,21
26,15000.0,13.87,12480.49,1076.66,83.36,65,39
31,15000.0,17.99,29679.84,1025.15,84.65,67,36
63,17663.0,10.7,81240.18,1314.47,83.23,67,4
47,18451.72,8.4,41837.38,1408.52,76.87,67,20
51,38030.34,10.96,129171.4,2821.96,79.93,64,13
50,18097.08,27.91,151523.18,1087.19,84.88,66,16
23,22290.44,25.05,16748.22,1392.31,85.52,62,39
33,23618.38,8.51,26117.17,1800.78,78.29,64,31
60,16062.6,6.16,39604.0,1256.04,86.86,63,3
41,21825.78,7.33,33594.7,1685.5,79.61,61,20
63,37256.46,12.34,197623.24,2721.71,83.66,65,2
31,25580.76,25.28,71146.15,1592.74,82.98,62,31
23,29631.81,13.03,11586.95,2147.46,77.43,62,39
58,26019.72,9.64,95329.11,1959.26,80.63,62,4
51,50189.55,14.9,231763.72,3559.44,75.0,67,16
44,15000.0,8.1,29164.83,1148.73,80.03,61,17
62,76903.66,16.76,541192.32,5334.84,88.17,63,1
32,36249.14,21.89,95214.26,2359.55,75.0,65,33
63,39698.54,14.22,242761.43,2837.74,77.66,66,3
47,42403.12,9.34,106935.48,3203.55,79.69,65,18
41,36981.45,16.33,126820.01,2578.53,75.0,67,26
45,15000.0,24.06,90233.37,949.22,75.0,64,19
50,15000.0,6.91,31116.85,1163.56,90.0,64,14
50,31244.69,6.77,63490.1,2427.36,84.93,66,16
30,29401.17,12.95,38082.66,2132.74,87.0,65,35
23,34300.01,15.38,15822.24,2418.83,83.75,63,40
33,22546.22,10.41,30517.06,1683.23,84.9,64,31
47,15000.0,5.67,22974.7,1179.09,80.41,67,20
38,20846.39,10.49,39358.37,1554.98,87.21,67,29
44,31910.23,15.88,121648.79,2236.79,89.17,63,19
34,19407.49,6.99,18980.44,1504.31,78.62,63,29
59,21974.14,22.9,196227.89,1411.89,80.76,66,7
64,22359.95,18.8,184986.29,1512.98,79.1,63,0
24,16966.5,15.86,10764.23,1189.62,81.57,64,40
36,15000.0,17.97,43122.71,1025.4,85.7,63,27
30,63208.1,21.4,135234.68,4140.39,81.11,61,31
57,48016.5,29.87,530672.91,2806.17,75.0,67,10
47,37611.73,24.38,247562.66,2370.23,86.85,66,19
21,27106.14,18.51,5017.1,1840.75,78.18,64,43
25,15000.0,24.26,18197.51,946.71,84.03,63,38
33,34325.75,16.88,75327.13,2377.61,84.52,66,33
23,38470.8,12.77,14741.3,2796.42,79.86,64,41
37,18541.42,11.55,36403.03,1366.67,77.42,65,28
39,15000.0,14.99,42712.9,1062.66,79.61,64,25
57,27267.75,5.06,51021.24,2157.4,89.98,64,7
25,37569.86,9.42,17702.72,2835.78,77.26,65,40
62,15994.18,8.16,54837.65,1224.04,76.49,66,4
64,28691.46,29.01,366210.98,1697.37,82.95,66,2
44,15000.0,6.62,23836.3,1167.24,80.93,64,20
63,15000.0,17.52,113031.86,1030.95,79.95,63,0
53,24402.32,27.99,225420.63,1464.28,77.49,63,10
41,15000.0,20.19,63592.22,997.65,81.9,64,23
23,27310.95,17.38,14241.34,1880.32,81.19,66,43
24,15000.0,23.57,14144.9,955.31,88.68,63,39
52,15000.0,13.83,66405.03,1077.07,77.57,61,9
44,36847.85,9.84,87045.19,2768.41,79.57,65,21
55,31140.29,26.18,285360.92,1915.59,88.42,61,6
38,27160.54,6.41,31360.09,2118.19,79.41,67,29
23,17628.27,25.19,13324.25,1098.9,78.39,65,42
59,22177.97,7.58,65598.44,1708.0,84.23,63,4
46,19685.15,20.64,105634.26,1301.86,82.79,64,18
44,70748.55,16.93,287400.7,4897.79,80.45,66,22
21,25802.27,29.96,7731.27,1505.92,82.38,67,46
54,15013.36,14.7,75026.64,1067.22,84.37,67,13
32,21153.13,28.93,73440.7,1252.76,82.8,62,30
37,15000.0,15.09,38491.01,1061.32,84.88,62,25
41,15000.0,22.04,69433.91,974.47,81.06,65,24
41,45768.76,21.09,202719.98,3009.62,76.85,64,23
23,25256.64,7.16,5426.11,1953.99,84.83,63,40
64,17574.53,23.58,182371.3,1119.14,80.64,67,3
48,21736.31,10.22,62180.48,1626.3,80.52,66,18
45,20908.61,14.71,76896.75,1486.06,85.73,65,20
64,22783.57,24.56,246158.46,1432.42,90.0,63,0
26,39099.85,28.61,67113.74,2326.19,75.0,63,37
62,28788.14,19.0,229669.97,1943.32,80.42,65,3
50,17947.53,17.98,96833.82,1226.64,81.62,66,16
52,15000.0,17.62,84590.81,1029.71,82.55,67,15
42,15000.0,25.41,83866.59,932.32,81.09,65,23
58,32184.11,29.83,364794.08,1882.02,81.56,64,6
34,48100.55,20.84,140336.65,3173.04,83.83,65,31
54,15000.0,14.47,73774.36,1069.18,81.03,62,8
63,15000.0,10.47,67509.62,1119.17,79.34,65,2
46,17744.1,9.97,45998.71,1331.24,79.19,67,21
60,53755.6,26.4,567740.29,3296.84,88.64,65,5
33,23714.71,29.81,91897.94,1387.14,90.0,61,28
